,question,answer,customer,seller,time,tags
16,Hi! Will anker powercore fusion fit here? Thanks,"Thanks for your inquiry, it would be compatible",chester a.,Ugreen Flagship Store,1  month ago,"opening, specification inquiry, thanking"
17,can this be shipped before christmas?,"Thanks for your inquiry, as we are oversea seller from Shenzhen China, 5-10 days needed to reach Philippines",Jennie L.,Ugreen Flagship Store,1  month ago,delivery inquiry
18,kala ko kasya yung Bluetooth earphone,"Thanks for your inquiry, it is compatible with your bluetooth earphone.",John L.,Ugreen Flagship Store,1  month ago,inquiry (others)
19,kasya po ba yung earbuds dito,"Good day, this is earphone case only, no earbuds included, thx.",John L.,Ugreen Flagship Store,1  month ago,specification inquiry
20,earphone with Mic po ba?,"Thanks for your inquiry, this is earphone case only, no earphone included.",Norcy L.,Ugreen Flagship Store,1  month ago,specification inquiry
21,case lang po ito?,"Thanks for your inquiry, this is earphone and charger case",Norcy L.,Ugreen Flagship Store,1  month ago,specification inquiry
22,is it compatible in samsung gear iconx?,"Good day, it is compatible with your samsung gear iconx.",Aldhrin c.,Ugreen Flagship Store,1  month ago,specification inquiry
23,IS IT COMPATIBLE FOR APPLE AIRPODS? THANK YOU,"Thanks for your inquiry, it is compatible with Apple Airpods.",SPO1 M.,Ugreen Flagship Store,2  months ago,"specification inquiry, thanking"
24,fits for gopro hero 5??,Sorry. It is not compatible.,Janine C.,Ugreen Flagship Store,2  months ago,specification inquiry
25,hi Fit lang po ba ito para sa earphone?,Thanks for this solid and waterproof bag will hold your earphone,Nico Y.,Ugreen Flagship Store,2  months ago,"opening, specification inquiry"
26,Ok then,"Hello, we will reply you by chat online for delivery details, please kindly wait, thx.",Jamil B.,Ugreen Flagship Store,2  months ago,other
27,How will i know that the product is dilivered?,"Hello, please kindly provide us your order by Chat online for following, thx.",Jamil B.,Ugreen Flagship Store,2  months ago,delivery inquiry
28,"Ok thanks. Bumili na nga pala ako kanina, ilang days po ba bago makuha?","Hello, as we are oversea seller from Shenzhen , China,  it will take about 5-10 days to reach Philippines, 7 days as usual,thanks for your understanding.",Jamil B.,Ugreen Flagship Store,2  months ago,"thanking, delivery inquiry, thanking"
29,Uhm can you pls answer my question,Sure. Welcome to purchase.,Jamil B.,Ugreen Flagship Store,2  months ago,"follow-up, expression, request"
30,Hi is apple airpods fit?,Sorry for the late reply. It is compatible.,Jamil B.,Ugreen Flagship Store,2  months ago,"opening, specification inquiry"
31,hey you're not responding on chat,"Hello , it may be a little busy, will reply ASAP.",Dan-Carlo A.,Ugreen Flagship Store,2  months ago,"opening, follow-up"
32,"Hi, can this fit a MacBook Pro 13-inch w/ Retina charger? Thanks!","Dear, thanks for your inquiry, please confirm your charger samll than 65mm*65mm*40mm, if yes, you can use it. Thanks so much.",Xuxa G.,Ugreen Flagship Store,3  months ago,"opening, specification inquiry, thanking"
33,fit po b ang charger ng oppo ?,Sorry. It is not compatible.,CHRISTIAN M.,Ugreen Flagship Store,3  months ago,specification inquiry
34,"Bose Soundsport wireless earphones, will it fit?",Thanks for your inquiry. It is compatible.,Marlon B.,Ugreen Flagship Store,3  months ago,specification inquiry
35,Can a 5W Apple adapter plus cable fit inside this?,"Hello, could you please provide the adapter size?
thx.",Kevin P.,Ugreen Flagship Store,4  months ago,specification inquiry
36,sent screenshots via chat,"hello, it is alright.",Nolan M.,Ugreen Flagship Store,4  months ago,other
37,hi why does delivery charge go up from php45 to php229 if i get 3pcs? delivery charge goes up every additinal 2pcs,"Hello, delivery fee charged differs from district and weight, could you please provide a screenshot about your delivery fee via Chat Online, thx.",Nolan M.,Ugreen Flagship Store,4  months ago,"opening, delivery inquiry"
38,I guess you dont understand my question. Does it come with a carabiner? Pls answer with a yes or no only thank you,Sorry for the misunderstanding. This new version is with a carabiner while the old one is not. It was upgraded recently.,Mikee V.,Ugreen Flagship Store,4  months ago,"backchannel, specification inquiry"
39,"You didn’t answer my question, I said, does it come with a carabiner as seen in the pics?",Sorry. I don't know how big your carabiner is. So I tell you the size and you may need to measure your carabiner.,Mikee V.,Ugreen Flagship Store,4  months ago,"service complaint, specification inquiry, backchannel"
40,Does it come with a carabiner?,Hello. The size of this bag is 80mm*80mm*40mm. You can check that.,Mikee V.,Ugreen Flagship Store,4  months ago,specification inquiry
41,"LAZADA, why are you charging an amount for Standard Delivery, even if I selected Economy Delivery.",Hello. This is Ugreen. We don't have the right to do that. You can contact lazada for help with your problem.,Romardarico S.,Ugreen Flagship Store,4  months ago,"service complaint, delivery inquiry"
42,kasya po ba yung charger ng samsung A7 dito or kahit yung adaptor nya?,"Hello, this is earphone bag, not for adapter, here is another bag link for you.
https://www.lazada.com.ph/products/ugreen-multi-function-digital-storage-data-cable-storage-bag-waterproof-hdd-case-charger-headphone-storage-box-travel-storage-package-grey-i242153085-s329549866.html",Waldine Q.,Ugreen Flagship Store,5  months ago,specification inquiry
43,"hello, is Samsung charger (note 9) can fit on this?","Sorry, it is not advised ,but you can have a look on another storage bag.
https://www.lazada.com.ph/products/ugreen-multi-function-digital-storage-data-cable-storage-bag-waterproof-hdd-case-charger-headphone-storage-box-travel-storage-package-grey-i242153085-s329549866.html",Mark A.,Ugreen Flagship Store,5  months ago,"opening, specification inquiry"
44,"I place an order for this item, i just want to make sure i will receive an iphone 6s and NOT an iphone 6s plus. There is no option to choose what phone i am using, i am going to be mad if i receive a wrong one.","Hello, this is not iPhone 6s or 6s Plus, this is the earphone bag case, thx.",Ma. C.,Ugreen Flagship Store,5  months ago,"other, service complaint, request"
45,Is the product still available?,"Yes, the item is available. Click on “Add To Cart” and proceed to checkout, if you’d like to purchase it.",Krabby_Patrick 3.,Ugreen Flagship Store,5  months ago,availability inquiry
46,do you have a size that fits JBL T450BT?,"Sorry, there is no bag available for JBL T450BT.",jeremy e.,Ugreen Flagship Store,6  months ago,availability inquiry
47,kasya to sa JBL GO speaker?,"Hello, I'm afraid it is a little bit small for JBL GO speaker.",Reynante J.,Ugreen Flagship Store,9  months ago,specification inquiry
48,"How come i cant select cash on delivery as my mode of payment, as it was indicated in the product details section?","In the top right section on the page of a product, if there is an indication “Cash on Delivery is available”, you can purchase this product with COD.”",marifel m.,Ugreen Flagship Store,12  months ago,payment method inquiry
49,do u have a bag pouch like that for power bank and cords,"Thanks for your inquiry, following is the link of larger size one for your reference. http://www.lazada.com.ph/ugreen-external-hard-drive-case-bag-travel-electornics-accessories-organizer-bag-for-25-inch-hard-drivesearphoneu-disk-hard-disk-drive-intl-31946584.html?spm=a2o7j.10605800.0.0.70faa125J08gI0",Joman E.,Ugreen Flagship Store,1  year ago,availability inquiry
50,hi po pag mag order ako my delivery charge po ba?,"Hi Dhonn, Thank you for your query. Shipping fee is automatically computed by lazada system base on your exact location, shipping fee may apply and can be seen upon check-out before final submission of order.",Dhonn T.,Xtreme Official,3  months ago,"opening, delivery inquiry"
51,pwd econnect sa tv at tsanka,"Hi Noguera, Thank you for your query. This is compatible with sound sources like TV. Make sure you have two stereo audio cables, one red and one white.",Noguera R.,Xtreme Official,3  months ago,specification inquiry
52,So pwede e direct plug sa smart tv?,"Hi Honey, Thank you for your query. This is compatible with sound sources like TV. Make sure you have two stereo audio cables, one red and one white.",Honey L.,Xtreme Official,3  months ago,specification inquiry
53,Ma coconect ba to sa devant smart tv?,"Hi Hunt, Thank you for your query. This is compatible with sound sources like TV. Make sure you have two stereo audio cables, one red and one white.",Hunt S.,Xtreme Official,3  months ago,specification inquiry
54,pwede po ba eh connect sa cellphone to?,"Hi Escel, Thank you for your query. Yes, you can connect your phone via A/V cable.",Escel H.,Xtreme Official,3  months ago,specification inquiry
55,pwede po ba eh connect sa cp tru cord?,"Hi Escel, Thank you for your query. Yes, you can connect your phone via A/V cable.",Escel H.,Xtreme Official,3  months ago,specification inquiry
56,my radio po b yn?,"Hi Cruzleen, Thank you for your query. Yes, this speaker has an FM radio feature.",Cruzleen E.,Xtreme Official,3  months ago,specification inquiry
57,"hi, how to adjust the fm channels?","Hi Regie, Thank you for your query. Just single press the ""NEXT"" button to change your preferred FM channel.",Regie B.,Xtreme Official,3  months ago,"opening, process inquiry, inquiry (others)"
58,Hi po pwede po I connect sa videoke player,"Hi Recca, Thank you for your query. Yes, you can connect your DVD player or Videoke player with this speaker.",Recca m.,Xtreme Official,3  months ago,"opening, specification inquiry"
59,"Hello!
Pwede po ba xa sa Computer as a speaker? Thanks!","Hi Billy, Thank you for your query. Yes, you can connect it to your computer as a speaker.",Billy P.,Xtreme Official,3  months ago,"opening, specification inquiry, thanking"
60,pwede ba sya i pair sa junior platinum,"Hi Rhonalyn, Thank you for your query. If your Platinum Junior has RCA ports, you can connect it with RCA cable connector.",Rhonalyn G.,Xtreme Official,3  months ago,specification inquiry
61,BAT ANG NAKALAGAY SA SHIPPING FEE IS 254 TAS BIGLANG NAG 516?? GRABI NAMAN MAHAL NANG SHIPPING SAYANG BIBILI SANA AKO,"Hi Honey, Thank you for you query and we do apologize for the inconvenience. Kindly contact Lazada regarding on your for shipping fee. Thank you.",Honey L.,Xtreme Official,3  months ago,other
62,WOW!!! HAHAHAHA BAT BIGLANG NAG MAHAL ANG SHIPPING?! EH KAHAPON LANG 350 YUNG SHIPPING EH NGAYON 500+ NA GRABEH HAHAHAHAHAHA,"Hi Honey, Thank you for you query and we do apologize for the inconvenience. Kindly contact Lazada regarding on your for shipping fee. Thank you.",Honey L.,Xtreme Official,3  months ago,"other, expression, expression"
63,pwedi sa computer po ba ito?,"Hi Mauro, Thank you for your query. Yes, you can plug it with your computer via A/V cable.",Mauro S.,Xtreme Official,3  months ago,specification inquiry
64,Mine is delivered today. However pano ko magagamit ang USB/SD function. Eh sa input Aux at Fm lng ang pagpipilian,"Hi Gilbert, Thank you for your query. Kindly turn off the speaker and or directly put into the USB slot, it will automatically play the MP3 music.",Gilbert J.,Xtreme Official,3  months ago,"other, process inquiry"
65,me am/ fm?  pwede connect s videoke?,"Hi Alyssa, Thank you for your query. This speaker has FM feature only and you can also connect it to your videoke player via RCA cable.",Alyssa C.,Xtreme Official,3  months ago,"opening, specification inquiry, specification inquiry"
66,paano po mag connect nito sa Bluetooth? asap,"Hi Maricar, Thank you for your query. This speaker doesn't have a Bluetooth feature.",maricar m.,Xtreme Official,3  months ago,specification inquiry
67,Hi. Can i plug this on my pc?,"Hi Adrian, Thank you for your query. Yes, you can plug it with your speaker via A/V cable.",Adrian B.,Xtreme Official,3  months ago,"opening, specification inquiry"
68,pwd rin iti pang sing along?,"Hi Reynante, Thank you for your query. Yes, just connect your DVD player and microphone.",reynante a.,Xtreme Official,3  months ago,specification inquiry
69,"isang set na po yung price na 1,699?","Hi Michelle, Thank you for our query. Yes, this is the current price of one set subwoofer speaker.",michelle a.,Xtreme Official,3  months ago,price inquiry
70,hi pede ba return nmin un inorder ko at plitan ayw gumana ng subwoofer nya at grounded un speaker..pls reply po at ibbalik ko bukas sa Lbc. tnx,"Hi Maria, Thank you for reaching us and we do apologize for the inconvenience. Please Contact our CS representative now and send us the order number of your order. Chat us here: https://www.lazada.com.ph/shop/lucky-hr/ so that we could direct you to our technical support team.",maria b.,Xtreme Official,3  months ago,"opening, product complaint, process inquiry, thanking, return / exchange / refund"
71,gud.am po ilang days po ba bago madiliver ang speaker halimbawa now ako mag order salamat po..,"Hi Allan, Thank you for your query. After you purchased the item, It takes one to seven days if you are located in metro manila area and five to twelve days if you are in Provincial areas.",Allan g.,Xtreme Official,3  months ago,"opening, delivery inquiry, thanking"
72,Pwede ko ba install sa 12v pang sasakyan,"Hi Carl, Thank you for your query, but this is not recommended with 12V car supply.",carl d.,Xtreme Official,4  months ago,specification inquiry
73,Hi good eve. Ask ko lang pwede ba to sa PLATINUM JUNIOR na nabili ko? Thanks and God bless,"Hi Kigen, Thank you for your query. If your Platinum Junior has RCA ports, you can connect it with RCA cable connector.",Kigen d.,Xtreme Official,4  months ago,"opening, specification inquiry, thanking"
74,may fm po ba ito?,"Hi Michael, Thank you for your query. Yes, this speaker has an FM feature.",michael d.,Xtreme Official,3  months ago,specification inquiry
75,no bluetooth connection?,"Hi Demi, Thank you for your query. Yes, this speaker doesn't have a Bluetooth feature.",Demi B.,Xtreme Official,3  months ago,specification inquiry
76,hi poh pwede poh ba sa Bluetooth?? and my USB SLOT poh ba cia thanks poh.,"Hi Jhen, Thank you for your query. This speaker has a USB slot, but doesn't have a Bluetooth feature.",Jhen d.,Xtreme Official,3  months ago,"opening, specification inquiry, thanking"
77,"hi gud day , ask ko lng if may Bluetooth mode ito, thanks.","Hi Aj, Thank you for your query. This speaker doesn't have a Bluetooth feature.",Aj L.,Xtreme Official,3  months ago,"opening, specification inquiry, thanking"
78,how big is the speaker?,"Hi Elsa, Thank you for your query. The Subwoofer dimension is W 170 x D 335 x H 310 mm and Satellite dimension is W 110 x D 120 x H 185 mm.",elsa b.,Xtreme Official,3  months ago,specification inquiry
79,ilang watts po ito?,"Hi Miracle, Thank you for your query. This speaker has AMP Output: 25W + 10Wx2 and Driver Output: 30w + 15Wx2",Miracle H.,Xtreme Official,4  months ago,specification inquiry
80,how many watch this speaker?,"Hi Ernest, Thank you for your query. This speaker has AMP Output: 25W + 10Wx2 and Driver Output: 30w + 15Wx2",Ernest V.,Xtreme Official,4  months ago,specification inquiry
81,Amplified na po?,"Hi Carlota, Thank you for your query. No, this is a subwoofer speaker only.",Carlota I.,Xtreme Official,4  months ago,specification inquiry
82,lagi lng on da way ang delivery pro hanggang ngayon hndi pa dumating... san ba galing yan? sa europe? very diappointed...,"Hi Christopher, Thank you for reaching us, Sorry for what happened, Please contact .You can also send them a message thru live chat http://www.lazada.com.ph/contact/?spm=a2o4l.cms.0.0.RCGNKs.",Christopher R.,Xtreme Official,4  months ago,"delivery complaint, expression, inquiry (others)"
83,Sa pag recieve ng delivery ok lng b buksan muna ay testing before bayad kc marami ang complain ng ibang mga customer sana naman ung mkuha ko okay at wlang dpekto kc Mhirap mgsoli,"Hi Jelsea, Thank you for your query. No worries, our items always undergo on our QC Personnel to double check and test our items before deliver, so we are 100% sure that we serve New and Good Quality product and Lazada courier won't allow due to security purpose.",Jelsea L.,Xtreme Official,4  months ago,other
84,nag order ako tpos last oct 1 pa sbi shipped na pro hanggang ngayon wla pa.. pwede ba cancel nlang iba nlang ooderin ko.,"Hi Christopher, Thank you for reaching us and we do apologize for the inconvenience and sorry for what happened, Please contact Lazada. You can also send them a message thru live chat http://www.lazada.com.ph/contact/?spm=a2o4l.cms.0.0.RCGNKs.",Christopher R.,Xtreme Official,4  months ago,"delivery inquiry, process inquiry, order cancellation, delivery complaint"
85,may aux ba to?,"Hi Noel, Thank you for your query. No, this speaker doesn't have an Auxiliary port.",noel b.,Xtreme Official,4  months ago,specification inquiry
86,Does this has bluetooth?,"Hi Patrick, Thank you for your query. This speaker doesn't have a Bluetooth feature.",Patrick J.,Xtreme Official,3  months ago,specification inquiry
87,may bluetooth na po ba to ??,"Hi Noguera,, Thank you for your query. This speaker doesn't have a Bluetooth feature.",Noguera R.,Xtreme Official,3  months ago,specification inquiry
88,Ang tanong ko po is pwede ba e direct?? Oo o hindi?,"Hi Honey, Thank you for your query. Yes, you can plug it directly to the outlet.",Honey L.,Xtreme Official,3  months ago,specification inquiry
89,may fm radio po ba yan?,"Hi Rolly, Thank you for your query. Yes, this speaker has an FM feature.",Rolly U.,Xtreme Official,3  months ago,specification inquiry
90,hi po ng order po aq ngaun kylan po kya ang delivery?,"Hi Mabhel, Thank you for your query. After you purchased the item, It takes 1 to 7 days if you are located in metro manila area and 5 to 12 days if you are in Provincial areas.",Mabhel O.,Xtreme Official,4  months ago,"opening, delivery inquiry"
91,ok po ba gamitin to pang karaoke? pang bahay lang,"Hi Marjoe, Thank you for your query. Yes, you connect your DVD player and use it as a videoke player.",Marjoe N.,Xtreme Official,4  months ago,specification inquiry
92,May saksakan ba to ng microphone??,"Hi Hunt, Thank you for your query. Yes, this speaker has a microphone slot.",Hunt S.,Xtreme Official,3  months ago,specification inquiry
93,Pwede rin ba to pang videoke??,"Hi Hunt, Thank you for your query. Yes, you can connect your DVD player with this speaker.",Hunt S.,Xtreme Official,3  months ago,specification inquiry
94,Gano ba kalai in inches at may saksakan ba ng microphone to? Slamat po,"Hi Hunt, Thank you for your query. The Subwoofer dimension is W 170 x D 335 x H 310 mm and Satellite dimension is W 110 x D 120 x H 185 mm and this speaker also has a microphone slot.",Hunt S.,Xtreme Official,3  months ago,"specification inquiry, thanking"
95,Pls answer po if pwede ba to direct connect sa smart tv atmay saksakan po ba ng mic to??salamat po.,"Hi Hunt, Thank you for your query. This speaker support TV sound source that has an audio output and it has a microphone slot.",Hunt S.,Xtreme Official,3  months ago,"specification inquiry, thanking, specification inquiry"
96,Pwede ba itong e direct connect sa devant smart tv?? Pls reply kasi bibili ako ngayon,"Hi Hunt, Thank you for your query. This speaker support TV sound source that has an audio output.",Hunt S.,Xtreme Official,3  months ago,specification inquiry
97,Pakisagot po if pwede ba to direct connect sa smart tv at may saksakan ba to ng mic?? Salamat maghihintay ako hanggang bukas sa reply kasi oorder ako.,"Hi Honey, Thank you for your query. This speaker support TV sound source that has an audio output and it has a microphone slot.",Honey L.,Xtreme Official,3  months ago,"specification inquiry, other, specification inquiry, thanking"
98,Pls answer nmn po,"Hi Honey, Thank you for your query. This speaker support TV sound source that has an audio output.",Honey L.,Xtreme Official,3  months ago,follow-up
99,I have also smart tv pwede ba to na e direct sa tv yung speaker??,"Hi Honey, Thank you for your query. This speaker support TV sound sources that has an audio output.",Honey L.,Xtreme Official,3  months ago,specification inquiry
100,Pwede ba ito direct e coconect sa smart tv ko??,"Hi Honey, Thank you for your query. This speaker support TV sound sources that has an audio output.",Honey L.,Xtreme Official,3  months ago,specification inquiry
101,is this unit can be use in videoke as a speaker?,"Hi Ernest, Thank you for your query. Yes, you can connect your videoke player or DVD player with this speaker.",Ernest V.,Xtreme Official,4  months ago,specification inquiry
102,sir yung sukat ng box by inchis sir gaano ka laki sir,"Hi IrIren, Thank you for your query. The Subwoofer dimension is W 170 x D 335 x H 310 mm and Satellite dimension is W 110 x D 120 x H 185 mm.",Irlren A.,Xtreme Official,4  months ago,specification inquiry
103,pwedi ba saksakan nang microphone to?,"Hi Aj, Thank you for your query. Yes, you can connect the microphone with this speaker. This speaker has a microphone slot.",AJ F.,Xtreme Official,4  months ago,specification inquiry
104,Gano kalaki to in inches,"Hi Honey, Thank you for your query. The Subwoofer dimension is W 170 x D 335 x H 310 mm and Satellite dimension is W 110 x D 120 x H 185 mm.",Honey L.,Xtreme Official,4  months ago,specification inquiry
105,may fm radio po ba to,"Hi Ladybubbles, Thank you for your query. Yes, this speaker has an FM feature.",Ladybubbles O.,Xtreme Official,4  months ago,specification inquiry
106,"matanong ko lang po, may radio po ba?","Hi JM, Thank you for your query. Yes, this speaker has an FM feature.",JM P.,Xtreme Official,4  months ago,specification inquiry
107,Hello po may bluetooth po baito at FM?,"Hi Myla, Thank you for your query. This speaker has an FM feature, but doesn't have a Bluetooth feature.",Myla M.,Xtreme Official,4  months ago,"opening, specification inquiry"
108,may bluetooth po?,"Hi Rina, Thank you for your query. This speaker doesn't have a Bluetooth feature.",Rina J.,Xtreme Official,4  months ago,specification inquiry
109,No bluetooth function?  I see in two of the comments above that they are able to play music thru AUX or bluetooth from their phone?  Are those reviews wrong/inaccurate?,"Hi Waldo, Thank you for your query. Sorry for what happened. We already settled it, since the customer creates a wrong product review. This speaker has no Bluetooth feature.",Waldo D.,Xtreme Official,4  months ago,"specification inquiry, backchannel, inquiry (others)"
110,bat delivery failed nakalagay wala naman po nagdeliver kanina?,"Hi Ivan, Thank you for reaching us. Sorry for what happened, Please contact Lazada for delivery status. You can also send them a message thru live chat http://www.lazada.com.ph/contact/?spm=a2o4l.cms.0.0.RCGNKs",Ivan D.,Xtreme Official,4  months ago,delivery complaint
111,pwede po ba ito sa tv?,"Hi Karlo, Thank you for your query. This speaker support TV sound source that has an audio output.",Karlo N.,Xtreme Official,4  months ago,specification inquiry
112,gano po kalaki itong speaker at ilang watts po ito?,"Hi Mhar, Thank you for your query. The Subwoofer dimension is W 170 x D 335 x H 310 mm and Satellite dimension is W 110 x D 120 x H 185 mm.",Mhar J.,Xtreme Official,4  months ago,specification inquiry
113,may warranty po ba?,"Hi Ivan, Thank you for your query. Yes, this product comes with a 1 year service warranty.",Ivan D.,Xtreme Official,4  months ago,inquiry (others)
114,ok ang product nakabili at deliver na today       kaya lang yung EQ BUTTON..  wala naman nagyayari pag press ko sya... display lang ba itong EQ BUTTON,"Hi Enrique, Thank you for your query. The EQ button  or volume control used as a master volume. Press each time in turn to adjust the volume of front satellite, middle satellite and subwoofer separately.",Enrique O.,Xtreme Official,4  months ago,"product complaint, other"
115,hi ask ko lang bakit ang mahal ng shipping fee i cost 1k plus dba it should be 50 pesos for shipping fee.,"Hi Marjo, Thank you for your query. We do apologize, but it depends on your location, you may contact Lazada for the status of your payments for COD option and for more information.",marjo l.,Xtreme Official,4  months ago,"opening, delivery inquiry"
116,oorder sna ako kaso mhal delivery fee,"Hi Lilibeth, Thank you for your query. We do apologize, but it depends on your location, you may contact Lazada for the status of your payments for COD option and for more information.",lilibeth d.,Xtreme Official,4  months ago,other
117,may saksakan ba ng mic ito,"Hi Christopher, Thank you for your query. Yes, this speaker has a 2 microphone port.",Christopher E.,Xtreme Official,4  months ago,specification inquiry
118,gano po kalaki to?,"Hi Badeth, Thank you for your query. The Subwoofer dimension is W 170 x D 335 x H 310 mm and Satellite dimension is W 110 x D 120 x H 185 mm.",Badeth Q.,Xtreme Official,4  months ago,specification inquiry
119,pwede po b to pang videoke? tnx,"Hi Michael, Thank you for your query. Yes, you can connect your videoke player with this speaker.",Michael S.,Xtreme Official,4  months ago,"specification inquiry, thanking"
120,Pwede ba to pang videoke?,"Hi Gelo, Thank you for your query. Yes, you can connect your videoke player with this speaker.",Gelo E.,Xtreme Official,4  months ago,specification inquiry
121,pwd mgconect pag vedeike,"Hi Angelita, Thank you for your query. Yes, you can connect your videoke player with this speaker.",angelita G.,Xtreme Official,4  months ago,specification inquiry
122,pwd po connect sa flat tv.thanks,"Hi Edwin, Thank you for your query. This speaker support TV sound source that has an audio output.",Edwin b.,Xtreme Official,4  months ago,"specification inquiry, thanking"
123,Gaano po ito kalaki?,"Hi Gelo, Thank you for your query. The Subwoofer dimension is  W 170 x D 335 x H 310 mm and Satellite dimension is   W 110 x D 120 x H 185 mm.",Gelo E.,Xtreme Official,4  months ago,specification inquiry
124,i wanna buy this one but there is no cod option,"Hi Antonia, Thank you for your query. Hi! its depends on your location, you may contact Lazada for the status of your payments for COD option. Thank you.",Antonia r.,Xtreme Official,4  months ago,payment method inquiry
125,Pwede to bluethooth?,"Hi Gelo, Thank you for your query. This speaker doesn't have a Bluetooth feature.",Gelo E.,Xtreme Official,4  months ago,specification inquiry
126,can it be paid COD?,"Hi Mary, Thank you for your query. It depends on the location where you located. You can check it upon placing an order. Thank you.",Mary A.,Xtreme Official,4  months ago,payment method inquiry
127,can it be paid by COD?,"Hi Mary, Thank you for your query. It depends on the location where you located. You can check it upon placing an order. Thank you.",Mary A.,Xtreme Official,4  months ago,payment method inquiry
128,hi po!pede ba po ito deliver zamboanga sibugay province Ipil ...,"Hi Esterlita, Thank you for your query. Yes, Lazada can deliver at your place in Zamboanga. Click on “Add To Cart” and proceed to checkout, if you’d like to purchase it.",Esterlita F.,Xtreme Official,4  months ago,"opening, delivery inquiry"
129,can i put this Dvd tape maam?,"Hi Esterlita, Thank you for your query. This speaker doesn't have a built-in DVD player, but you can connect your DVD player via RCA/ A/V cable.",Esterlita F.,Xtreme Official,4  months ago,specification inquiry
130,"tuning in to fm radio, does it have an LCD Display?","H Leo, Thank you for your query. This speaker has an FM feature and Led Display.",Leo B.,Xtreme Official,4  months ago,specification inquiry
131,"tuning in to fm radio, does it have an lcd dusplay?","H Leo, Thank you for your query. This speaker has an FM feature and Led Display.",Leo B.,Xtreme Official,4  months ago,specification inquiry
132,Pwede po ba sya gamiting speaker for videoke?,"Hi Shhen, Thank you for your query. Yes, you can use it as a speaker on your Videoke player.",Sheen D.,Xtreme Official,5  months ago,specification inquiry
133,ask q po bale ilang piraso item kapag dineliver?As is po ba sa picture na naka indicate dto?Kahit anong klase po ba ng karaoke brand pwede gamitin?,"Hi Lorilyn, Thank you for your query. Yes, you will receive the item exactly based on what you see on the picture. It comes with 1 satellite and 2 subwoofer speakers.",Lorilyn K.,Xtreme Official,5  months ago,"specification inquiry, specification inquiry"
134,is it comes with Bluetooth connectivity??,"Hi Prashant, Thank you for your query. This speaker doesn't have a Bluetooth feature.",PRASHANT K.,Xtreme Official,5  months ago,specification inquiry
135,saan po ang location nyo..kasi masyado mahal ang shiipping..,"Hi Lai, Thank you for your query, but our product is exclusive only at Lazada.",Lai G.,Xtreme Official,5  months ago,contact details inquiry
